animalId,animalName,location,age,ageStatus,microchipId,species,breed1,breed2,sex,color1,color2,size,sterilized,vaccinated,houseTrained,registrationDate,shelterTenure,specialNeeds,goodWithDogs,goodWithCats,goodWithOther,goodWithChildren,fosterStatus
31011,Gabriel,shelter,1,baby,bd1wHfXwcga32vS,dog,Mixed Breed,None,male,black,white,medium,no,no,yes,2019-03-26,36,no,yes,no,yes,yes,Available to foster
31012,W4,shelter,2,baby,hkGxuWGKGrrdSky,dog,Mixed Breed,Mixed Breed,female,white,None,medium,no,yes,yes,2019-03-23,39,no,no,no,no,no,Available to foster
31013,Nana,foster home,3,baby,dT15L8zqnkK8S3m,cat,Domestic Short Hair,None,female,black,brown,medium,no,no,yes,2019-03-04,58,no,yes,no,yes,yes,Not available to foster
31014,Blackball,shelter,2,baby,mtSKd73dQkpxn7A,cat,Domestic Short Hair,None,male,black,gray,medium,no,no,yes,2019-03-19,43,no,yes,yes,yes,yes,Available to foster
31015,Shama,home,24,young,2Kd9hygReIfdzsu,dog,Mixed Breed,Mixed Breed,female,brown,golden,medium,yes,yes,no,2019-01-02,119,no,no,no,yes,no,Adopted
31016,Elsa,home,24,young,9vqf8wt8t0u8pRP,dog,Poodle,Mixed Breed,female,cream,None,small,yes,no,yes,2019-01-14,107,no,no,yes,yes,yes,Adopted
31017,Brownie,shelter,2,baby,XMYrlw78Ihmmuwh,cat,Domestic Short Hair,None,male,brown,None,small,no,no,yes,2019-01-19,102,no,no,yes,yes,no,Available to foster
31018,Sofi,foster home,3,baby,1ExjhtWdlA5w4zW,cat,Bengal,American Shorthair,female,black,golden,medium,no,no,yes,2019-03-02,60,no,yes,no,yes,yes,Not available to foster
31019,Poodle Mix,home,12,young,8CesgapdIRE7k4x,dog,Poodle,Mixed Breed,female,black,None,small,no,no,yes,2019-04-13,18,no,yes,no,yes,no,Adopted
31020,Little Marie,foster home,36,adult,FG7WUotlDJWpXIJ,dog,Mixed Breed,None,female,black,brown,small,yes,yes,yes,2019-03-24,38,no,no,yes,yes,no,Not available to foster
31021,No name,home,2,baby,9WzdW6OyUZqJNFR,cat,Domestic Medium Hair,Tabby,male,black,white,medium,no,no,no,2019-01-22,99,no,yes,yes,no,yes,Adopted
31022,Constellation Ara (Ara),home,24,young,nNxKfElrdmrjpqn,cat,Domestic Medium Hair,None,female,cream,gray,medium,yes,yes,yes,2019-02-07,83,no,no,no,no,no,Adopted
31023,Mini Fluffy,home,4,baby,X3eLXRvMpoLGkMb,cat,Domestic Short Hair,None,female,gray,None,medium,yes,no,yes,2019-04-13,18,no,yes,no,yes,no,Adopted
31024,Sasha,shelter,2,baby,POD7KOmuJqw68Cv,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-01-02,119,no,no,no,yes,no,Available to foster
31025,H2,foster home,1,baby,8wpuXdDMT0o1lMY,dog,Mixed Breed,Mixed Breed,female,black,brown,medium,no,no,yes,2019-04-06,25,no,no,yes,yes,yes,Not available to foster
31026,Sami (long Hair Daushund),home,72,senior,Hl5C4iwp8UUS8du,dog,Dachshund,None,female,golden,None,small,yes,yes,yes,2019-04-04,27,no,no,yes,yes,no,Adopted
31027,Bandit,home,3,baby,0qHv8XjRrih0zHr,dog,Mixed Breed,None,male,black,brown,medium,no,yes,yes,2019-04-26,5,no,yes,yes,yes,no,Adopted
31028,Kecik~,home,12,young,IFMLpGojKF8gA71,cat,Domestic Short Hair,None,male,brown,white,large,no,no,no,2019-03-06,56,no,yes,no,yes,yes,Adopted
31029,Anson,shelter,36,adult,KmzCovpqvjl1mDm,dog,Shih Tzu,None,male,brown,white,small,no,no,yes,2019-02-15,75,no,yes,yes,yes,no,Available to foster
31030,Jimi,shelter,3,baby,Y5XSkfzGmCWwgYZ,dog,Mixed Breed,None,female,black,white,medium,no,yes,yes,2019-04-20,11,no,yes,no,yes,no,Available to foster
31031,Tweety,shelter,1,baby,tdFRyJu1RGqGB97,cat,Domestic Long Hair,None,female,black,brown,large,no,no,yes,2019-01-31,90,no,no,yes,yes,yes,Available to foster
31032,Kitten RA6,home,1,baby,U9xXLnY44QOJTg0,cat,Domestic Short Hair,None,male,black,None,medium,no,no,yes,2019-02-10,80,no,yes,no,yes,no,Adopted
31033,Miko,shelter,4,baby,63YgFyXLkQ50vjb,cat,Domestic Short Hair,None,female,black,white,medium,no,yes,no,2019-03-08,54,no,no,no,yes,yes,Available to foster
31034,Lulu,home,24,young,TeOR10cdc72I1DE,dog,Mixed Breed,Jack Russell Terrier,female,brown,white,medium,yes,yes,yes,2019-01-30,91,no,no,no,yes,no,Adopted
31035,Panda,home,2,baby,a48Rcp0sjiHw6uc,dog,Mixed Breed,None,male,black,brown,medium,no,yes,no,2019-02-01,89,no,yes,no,yes,no,Adopted
31036,Lil Kitten,home,0,baby,FKd9T9P7mDX6edS,cat,Domestic Short Hair,None,female,golden,cream,medium,no,no,no,2019-04-11,20,no,yes,yes,yes,no,Adopted
31037,No name,shelter,3,baby,yXZmAlWiMff239v,dog,Mixed Breed,None,male,brown,cream,medium,no,yes,no,2019-01-03,118,no,no,no,yes,no,Available to foster
31038,Mr Wong,home,18,young,4zLROjyzeNpru11,dog,Mixed Breed,Mixed Breed,male,yellow,None,medium,no,no,yes,2019-03-12,50,no,no,yes,yes,no,Adopted
31039,Yuan Yuan,home,91,senior,HMIN8Cwy6w4MuKf,dog,Shih Tzu,None,female,brown,white,small,yes,yes,yes,2019-02-09,81,no,yes,yes,no,no,Adopted
31040,* URGENT * Bb Girl 3,foster home,3,baby,gGXT1EScA8bH8nz,dog,Mixed Breed,Mixed Breed,female,brown,white,medium,no,no,yes,2019-04-06,25,no,yes,no,yes,yes,Not available to foster
31041,Sha Sha,shelter,1,baby,1fA9JingfVerG5S,dog,Mixed Breed,None,female,white,None,medium,no,no,yes,2019-03-28,34,no,no,yes,yes,yes,Available to foster
31042,Nobu,foster home,12,young,xqibYuSEYhKkjRB,cat,Tabby,None,male,yellow,cream,medium,yes,no,yes,2019-01-12,109,no,no,no,yes,yes,Not available to foster
31043,URGENT: Chyna Needs A Home,shelter,24,young,hJbDYvQHJeAJ43P,dog,Mixed Breed,Boxer,female,brown,None,large,yes,yes,no,2019-01-13,108,no,no,no,yes,yes,Available to foster
31044,Phoebe,home,1,baby,6nEqBsdIoi4fkVM,dog,Mixed Breed,Mixed Breed,female,black,brown,medium,no,no,yes,2019-01-29,92,no,no,no,yes,yes,Adopted
31045,Ricky,home,18,young,UjEmE3kely8xnkq,dog,Dalmatian,Mixed Breed,male,black,white,medium,yes,yes,yes,2019-01-05,116,no,no,yes,yes,no,Adopted
31046,Sapi,shelter,6,baby,h41EEF07UfaiqGf,cat,Domestic Short Hair,None,female,black,yellow,medium,no,no,yes,2019-03-11,51,no,yes,no,yes,no,Available to foster
31047,Ongey,foster home,2,baby,8KLsvKe7tjwLisy,cat,Domestic Short Hair,None,female,golden,yellow,medium,no,no,yes,2019-02-16,74,no,yes,yes,yes,no,Not available to foster
31048,Knight,foster home,1,baby,3jccSswEuLBRzZt,dog,Mixed Breed,None,male,black,white,medium,no,no,yes,2019-04-25,6,no,yes,no,yes,no,Not available to foster
31049,Gita,foster home,2,baby,amopEO4cqlHq8p4,cat,Domestic Short Hair,None,female,black,None,small,no,no,no,2019-04-04,27,no,yes,yes,yes,yes,Not available to foster
31050,Padaiyappa,shelter,15,young,DjjRrZGNhdm1X9i,dog,Mixed Breed,None,male,brown,None,medium,yes,yes,yes,2019-04-14,17,no,yes,no,yes,yes,Available to foster
31051,Tom,home,3,baby,IzXNFC7Ni3P1P0v,cat,Domestic Short Hair,None,male,black,None,medium,no,no,yes,2019-04-27,4,no,yes,yes,yes,yes,Adopted
31052,Kruppy,home,1,baby,NgAuJwdEqpausHv,dog,Mixed Breed,None,male,black,golden,medium,no,yes,no,2019-04-30,1,no,no,no,yes,yes,Adopted
31053,Rufio,foster home,18,young,4VVypwkAVHgXWrk,dog,Corgi,Mixed Breed,male,cream,None,medium,yes,yes,yes,2019-03-28,34,no,yes,yes,yes,yes,Not available to foster
31054,Zoey,shelter,48,adult,Ua6IvfKhtVSeCSw,dog,Cocker Spaniel,None,female,brown,golden,small,no,yes,yes,2019-04-11,20,no,no,no,yes,yes,Available to foster
31055,Monsoon,foster home,3,baby,zsEXlQoxFmclCgx,dog,Mixed Breed,None,male,black,brown,medium,no,yes,no,2019-04-12,19,no,yes,yes,yes,no,Not available to foster
31056,Tabby Girl 2,shelter,2,baby,Yjm59j2q7Tq2BWF,cat,Domestic Short Hair,None,female,black,brown,medium,no,no,yes,2019-02-14,76,no,no,no,no,yes,Pending
31057,Alicia,shelter,2,baby,mWSGShj4H1GRgi1,dog,Mixed Breed,None,female,black,brown,medium,yes,yes,yes,2019-03-16,46,no,no,no,yes,yes,Pending
31058,Sunshine,shelter,2,baby,rcfXb6KpXUKWwK3,dog,Mixed Breed,Mixed Breed,female,black,None,medium,no,yes,no,2019-01-10,111,no,yes,yes,yes,no,Available to foster
31059,Ci Gemok,home,2,baby,a6SwmareWmj0IHG,cat,Domestic Medium Hair,Domestic Short Hair,male,black,white,small,no,no,yes,2019-03-25,37,no,no,yes,yes,no,Adopted
31060,Unknown 3,shelter,10,young,tKbW2NXL70z4QRO,dog,Mixed Breed,None,male,black,brown,medium,yes,yes,yes,2019-01-27,94,no,yes,no,yes,yes,Available to foster
31061,Yuan Yuan AKa Fate (FAT),foster home,1,baby,JtxFXqP04AweFH0,cat,Domestic Medium Hair,Domestic Short Hair,female,brown,yellow,small,no,no,yes,2019-04-08,23,no,no,yes,yes,yes,Not available to foster
31062,Tot Tot,home,24,young,d16jw6O4Zeu12P9,cat,Bobtail,None,female,black,brown,medium,no,no,no,2019-01-17,104,no,no,no,yes,yes,Adopted
31063,Mas,home,12,young,e39InffjDFSOB6A,cat,Tortoiseshell,Domestic Medium Hair,female,yellow,gray,medium,yes,yes,no,2019-03-14,48,no,no,yes,yes,no,Adopted
31064,Phoenix,home,1,baby,35O845HhfIvLGvY,dog,Mixed Breed,None,female,cream,None,medium,yes,no,yes,2019-04-04,27,no,yes,no,yes,yes,Adopted
31065,Cassie,home,2,baby,oMHSQnhjDZAUtky,dog,Mixed Breed,None,female,cream,None,medium,no,yes,yes,2019-02-26,64,no,yes,no,no,no,Adopted
31066,Wolfie,home,12,young,nXvvrd7mPjuE6rJ,dog,Mixed Breed,None,male,brown,None,medium,no,no,no,2019-04-08,23,no,no,no,yes,yes,Adopted
31067,Twinkle,home,2,baby,SzCWauSPpe5lbmb,dog,Mixed Breed,None,female,brown,white,small,no,no,no,2019-01-26,95,no,no,no,no,yes,Adopted
31068,Scoby,shelter,3,baby,JWTZuw6Peq50ZP0,dog,Mixed Breed,None,male,brown,None,medium,no,no,yes,2019-02-17,73,no,no,no,no,no,Pending
31069,Arty,home,2,baby,VvhM6XcsvwqfoYq,cat,Domestic Short Hair,None,male,brown,white,medium,no,no,yes,2019-02-23,67,no,no,yes,yes,no,Adopted
31070,Blur Blur,home,2,baby,TihyEJvuq1BOFz2,cat,Domestic Long Hair,None,male,brown,golden,medium,no,no,no,2019-03-16,46,no,no,yes,yes,yes,Adopted
31071,Panda,home,36,adult,pLp0PQuPJHj7oEq,dog,Spitz,Border Collie,male,black,cream,medium,yes,yes,yes,2019-04-25,6,no,no,no,yes,yes,Adopted
31072,Ruby,home,1,baby,NxdnAryy8kOl7Du,dog,Mixed Breed,Mixed Breed,female,brown,None,medium,no,no,no,2019-04-27,4,no,no,yes,yes,yes,Adopted
31073,HuggieBoy,foster home,3,baby,VIUhn9e8iWar1fp,dog,Mixed Breed,None,male,brown,golden,small,no,yes,yes,2019-01-02,119,no,yes,yes,yes,yes,Not available to foster
31074,Dexter Jnr,shelter,3,baby,82C05OOPMiYlD2G,dog,Mixed Breed,Terrier,male,cream,None,small,no,yes,yes,2019-03-01,61,no,no,no,no,yes,Available to foster
31075,Tarzan,foster home,2,baby,Pl0VbLtWhRTa4cP,cat,Domestic Short Hair,None,male,black,brown,medium,no,yes,yes,2019-04-09,22,no,yes,no,yes,no,Not available to foster
31076,No name,home,2,baby,qcsBOie7YeYN4Yh,dog,Mixed Breed,None,male,black,white,medium,no,no,yes,2019-04-18,13,no,no,no,no,yes,Adopted
31077,Bobo,foster home,23,young,ZnwmPECTX5a78ZG,cat,Domestic Long Hair,None,male,gray,white,large,no,yes,yes,2019-01-29,92,behavioral,no,no,yes,yes,Not available to foster
31078,Nancy,home,2,baby,tdXnqfLPsRqM45u,dog,Mixed Breed,Mixed Breed,female,brown,None,medium,no,no,yes,2019-04-06,25,no,yes,yes,yes,no,Adopted
31079,IO-Female-01,home,2,baby,U2Jjqf0yv9tOlOC,dog,Mixed Breed,None,female,brown,white,medium,no,no,yes,2019-01-21,100,no,yes,yes,yes,no,Adopted
31080,Romeo,foster home,2,baby,B57MvKR3ilp83MR,dog,Mixed Breed,Mixed Breed,male,brown,white,medium,no,yes,yes,2019-02-21,69,no,no,yes,yes,yes,Not available to foster
31081,Mica,home,108,senior,2zq0u54hlh8JgP3,dog,Pomeranian,Pekingese,female,brown,None,small,no,no,yes,2019-01-29,92,no,yes,no,yes,no,Adopted
31082,No name,shelter,3,baby,G5zjyy1NHlb1RUy,dog,Mixed Breed,None,female,brown,None,medium,no,yes,no,2019-03-09,53,no,no,no,yes,yes,Available to foster
31083,Milo,home,4,baby,sMJ8f6IKAW1uksy,dog,Mixed Breed,None,female,black,brown,medium,no,yes,yes,2019-03-07,55,no,yes,no,yes,yes,Adopted
31084,Mehri,shelter,24,young,4SJIvYTDCsQgURH,cat,Siamese,Tabby,female,yellow,white,medium,yes,yes,yes,2019-03-10,52,no,no,yes,yes,yes,Available to foster
31085,Giggs,home,96,senior,n9qdRds8kizHdyF,dog,Old English Sheepdog,None,male,black,golden,medium,yes,yes,yes,2019-02-12,78,no,no,yes,no,no,Adopted
31086,Lily,home,30,adult,HRB6Tro7LIAOIOW,dog,Miniature Pinscher,None,female,black,golden,small,no,yes,no,2019-04-22,9,no,no,no,yes,no,Adopted
31087,Elegant Kitty,shelter,2,baby,D6asEUlQNVLJKzt,cat,Domestic Short Hair,Domestic Short Hair,male,brown,cream,small,no,no,yes,2019-04-05,26,no,no,yes,no,yes,Pending
31088,Junior.,foster home,2,baby,CmKBKsGENZZlJhK,cat,Domestic Short Hair,None,male,black,gray,medium,no,no,no,2019-01-17,104,no,no,no,yes,no,Not available to foster
31089,Max,home,72,senior,NJlEqGtR984hdsC,dog,Spitz,Collie,male,black,brown,medium,no,no,yes,2019-04-10,21,no,yes,no,yes,no,Adopted
31090,Jasmine,foster home,4,baby,jhG07EPyTsf6O9a,cat,Domestic Short Hair,None,female,golden,white,small,no,no,yes,2019-01-02,119,no,no,no,no,no,Not available to foster
31091,Toby,foster home,2,baby,ii4CeN7dNIES9MQ,dog,Mixed Breed,None,male,black,brown,medium,no,yes,yes,2019-01-06,115,no,yes,yes,yes,no,Not available to foster
31092,Xena,home,3,baby,2c8TxTeelI019by,dog,Mixed Breed,None,female,black,None,medium,no,yes,yes,2019-04-24,7,no,yes,no,yes,yes,Adopted
31093,Xuan Xuan,foster home,7,young,4rfSPRtZPOcweX0,cat,American Shorthair,None,female,black,white,medium,no,no,yes,2019-02-15,75,no,yes,yes,no,yes,Not available to foster
31094,Fluffy,home,1,baby,TB2enJpYV5kLF0r,cat,Manx,None,female,black,brown,medium,no,no,yes,2019-04-02,29,no,yes,no,yes,yes,Adopted
31095,Aiko,shelter,2,baby,hb3JVYd22y1lT2U,dog,Mixed Breed,None,female,black,brown,medium,no,no,no,2019-01-11,110,no,yes,no,yes,no,Available to foster
31096,Moz The Golden Kitten,foster home,1,baby,43TfdiL2xPcItYA,cat,Domestic Short Hair,None,male,golden,None,medium,no,no,no,2019-04-25,6,no,no,no,yes,yes,Not available to foster
31097,Uteh,shelter,4,baby,FyrSWF1YdQ345Gs,cat,Domestic Medium Hair,Domestic Medium Hair,male,white,None,small,no,no,yes,2019-01-09,112,no,no,yes,yes,no,Available to foster
31098,Ella,home,2,baby,oBDAUXNb9Ns5xF5,dog,Mixed Breed,None,female,cream,None,medium,no,no,yes,2019-04-01,30,no,no,yes,yes,yes,Adopted
31099,Lucy,home,11,young,qapZgo14KSSHVAA,dog,Mixed Breed,None,female,white,None,medium,no,no,yes,2019-02-07,83,no,yes,yes,yes,yes,Adopted
31100,Addie,home,7,young,tILc9d1KObvMArw,dog,Mixed Breed,None,female,black,None,small,yes,yes,yes,2019-03-14,48,no,no,no,yes,yes,Adopted
31101,Snoopy,home,2,baby,Px8E3HDHj5t6h8Q,dog,Mixed Breed,None,male,black,brown,medium,no,no,no,2019-03-04,58,no,no,yes,no,yes,Adopted
31102,No Name,shelter,36,adult,ql6HfoaGqKNPALb,dog,Poodle,Silky Terrier,female,cream,None,medium,yes,yes,yes,2019-04-13,18,no,yes,no,yes,yes,Pending
31103,MuiMui,foster home,1,baby,JBvHO1Igdp5s2bY,dog,Mixed Breed,Mixed Breed,female,cream,None,medium,no,no,no,2019-01-16,105,no,yes,yes,yes,no,Not available to foster
31104,Angel,home,4,baby,KMVoQEGs5gRRhhr,dog,Mixed Breed,Husky,female,black,brown,medium,no,yes,no,2019-04-18,13,no,no,no,yes,yes,Adopted
31105,Fluffy,shelter,4,baby,myIxXeTIP4hpddm,dog,Mixed Breed,None,female,cream,None,medium,no,no,yes,2019-03-06,56,no,yes,yes,yes,yes,Available to foster
31106,"Maru, Abu Dan Baik",foster home,4,baby,IypkBf8JkEVlxRW,cat,Domestic Short Hair,None,female,black,yellow,small,no,no,yes,2019-04-16,15,no,yes,no,yes,no,Not available to foster
31107,Jasper,home,2,baby,0EM5Yvf7DxGraSN,dog,Mixed Breed,None,male,brown,white,medium,no,yes,yes,2019-01-06,115,no,yes,no,yes,yes,Adopted
31108,BOXY,foster home,4,baby,0xhYHqQDENuZtnU,cat,Domestic Short Hair,None,female,black,gray,small,no,no,yes,2019-03-10,52,no,no,no,yes,yes,Not available to foster
31109,*sparky*,foster home,1,baby,H1Xd5DUfTT9WeLH,cat,Domestic Medium Hair,None,female,black,golden,medium,no,no,yes,2019-04-04,27,no,no,yes,yes,no,Not available to foster
31110,Bobos Sister,home,3,baby,yWUAhvCdfokpTEn,cat,Domestic Short Hair,None,female,black,brown,small,no,no,yes,2019-02-13,77,no,yes,no,yes,no,Adopted
31111,Putih,foster home,7,young,2rLZMIRknTEweR2,cat,Domestic Short Hair,Domestic Short Hair,female,white,None,medium,yes,yes,yes,2019-01-12,109,no,no,yes,yes,no,Not available to foster
31112,Oreo,shelter,1,baby,sZLiTCAvdsqrSrm,dog,Australian Kelpie,Mixed Breed,female,black,white,medium,no,no,no,2019-03-23,39,no,no,no,yes,yes,Available to foster
31113,No name,foster home,9,young,qB6nx7kQUZ43oC8,dog,Shar Pei,None,female,cream,None,medium,no,no,no,2019-02-25,65,no,yes,yes,yes,no,Not available to foster
31114,"June, The Rescued, Bushy-Tailed Cat",home,72,senior,81qiSSSnr5l2Fxl,cat,Domestic Long Hair,Domestic Medium Hair,female,black,brown,medium,no,no,no,2019-04-17,14,no,yes,yes,yes,yes,Adopted
31115,SMOKY,foster home,1,baby,L64VnZQ3OPJdeIu,dog,Mixed Breed,None,male,black,None,medium,no,no,no,2019-01-04,117,no,yes,yes,yes,no,Not available to foster
31116,YEEZY (Need A Loving Owner),shelter,7,young,oMOwcgmVkt2fnSP,cat,Domestic Short Hair,None,male,gray,None,medium,yes,yes,yes,2019-03-19,43,no,no,no,yes,yes,Pending
31117,Milo,foster home,19,young,1WYK739oRWaZwWG,dog,Poodle,None,male,brown,golden,medium,no,yes,yes,2019-03-17,45,no,yes,no,yes,no,Not available to foster
31118,Hachi,home,53,adult,2ayfYiIoWw5jVnx,dog,Poodle,None,male,brown,cream,small,no,yes,yes,2019-01-27,94,no,no,no,yes,no,Adopted
31119,Dee Dee,home,3,baby,xMw0NWlcYSpwwBL,dog,Mixed Breed,None,female,brown,white,medium,no,yes,yes,2019-04-18,13,no,yes,yes,no,yes,Adopted
31120,Thumbelina,foster home,8,young,AcR0nb5YSrpqwyO,cat,Domestic Short Hair,None,female,black,yellow,small,no,yes,yes,2019-04-09,22,no,yes,no,yes,yes,Not available to foster
31121,Farrow,shelter,3,baby,uQKbY0aHUhYWgXL,dog,Mixed Breed,None,male,black,brown,medium,no,yes,yes,2019-03-10,52,no,yes,no,yes,no,Available to foster
31122,Yellow,shelter,2,baby,mzW37irlusgxU2U,cat,Domestic Short Hair,None,female,black,brown,small,no,no,no,2019-02-20,70,no,yes,yes,yes,no,Available to foster
31123,Gallop,home,3,baby,3ZooDhPe6cM9zyo,dog,Mixed Breed,None,female,black,white,medium,no,no,yes,2019-02-19,71,no,yes,yes,yes,yes,Adopted
31124,Mini Tiger,shelter,9,young,rCLbHfNwfvjVU94,cat,Domestic Short Hair,None,female,gray,None,medium,no,no,yes,2019-04-06,25,no,no,no,yes,yes,Available to foster
31125,Puppy Girl,home,3,baby,WTPlQpHrdt3ZRI2,dog,Mixed Breed,Rottweiler,female,black,brown,medium,no,yes,no,2019-04-12,19,no,yes,no,yes,no,Adopted
31126,Doggie RE5,home,2,baby,5Yyz9ENIDUuJh48,dog,Mixed Breed,None,female,black,None,medium,no,yes,yes,2019-04-08,23,behavioral,yes,no,no,no,Adopted
31127,Purrdy,shelter,3,baby,X7iokYDcGxzeMH3,cat,Domestic Short Hair,None,female,black,gray,small,no,no,yes,2019-02-10,80,no,yes,yes,yes,no,Pending
31128,BUTTER,home,36,adult,i00hOKJQKccFBsn,cat,Siamese,None,female,black,white,medium,no,no,yes,2019-01-23,98,no,no,yes,yes,yes,Adopted
31129,No name,home,2,baby,5P3Fm2M2zwewQ0S,dog,Mixed Breed,None,male,black,white,medium,no,no,no,2019-02-28,62,no,yes,yes,no,yes,Adopted
31130,Lion,foster home,1,baby,ZiOKwxYIZyr7q82,cat,Domestic Short Hair,None,male,black,gray,small,no,no,yes,2019-04-10,21,no,no,yes,yes,no,Not available to foster
31131,Sudu,shelter,7,young,lmUjyAyHZNCnUgW,cat,Tabby,None,male,black,gray,small,yes,yes,yes,2019-03-24,38,no,yes,yes,yes,no,Pending
31132,ZACK,home,73,senior,76nhLlQkv2cdLZY,dog,Rottweiler,None,male,black,brown,large,no,yes,yes,2019-03-14,48,no,yes,yes,yes,yes,Adopted
31133,Riko,foster home,2,baby,1MgzwX25xzHq6Ir,cat,Domestic Medium Hair,None,female,black,brown,small,no,no,yes,2019-01-10,111,no,yes,no,yes,no,Not available to foster
31134,Pepper,home,4,baby,5OlVXbvWpSJomT6,cat,Domestic Medium Hair,None,female,cream,None,medium,no,no,no,2019-04-06,25,no,no,yes,yes,yes,Adopted
31135,Wallis,shelter,4,baby,tFqaVLHlSeS6iJe,dog,Mixed Breed,None,female,black,None,medium,no,yes,yes,2019-01-29,92,no,yes,no,yes,yes,Available to foster
31136,Cookie,home,30,adult,Zpkvlt1rf5nyhZf,cat,Maine Coon,Domestic Medium Hair,female,golden,white,medium,yes,yes,yes,2019-04-22,9,no,yes,no,yes,yes,Adopted
31137,Pluto,foster home,2,baby,YyUNJhzudrDRdFc,dog,Mixed Breed,None,male,black,brown,medium,no,no,no,2019-03-31,31,no,no,yes,yes,yes,Not available to foster
31138,BRITISH SHORTHAIR,home,12,young,t5hVrv5CIqxyMXH,cat,British Shorthair,Persian,male,black,gray,large,no,no,no,2019-01-19,102,no,no,yes,yes,no,Adopted
31139,Jenny-Baby,shelter,1,baby,XkWDoyk84SS5vrf,dog,Mixed Breed,None,female,black,brown,medium,yes,yes,no,2019-03-07,55,no,no,yes,yes,no,Pending
31140,Luna,foster home,1,baby,j82LuReoXssJKV1,cat,Domestic Medium Hair,None,female,black,None,small,no,no,no,2019-02-19,71,no,yes,yes,yes,no,Not available to foster
31141,Another Female Pup,shelter,1,baby,JVgUcXUH0aqOyV8,dog,Mixed Breed,None,female,yellow,cream,medium,no,yes,yes,2019-02-19,71,no,yes,no,yes,no,Pending
31142,Surya,home,2,baby,5Waq9MmaJjDBAyd,dog,Mixed Breed,Mixed Breed,male,black,brown,medium,no,no,yes,2019-04-17,14,no,no,no,yes,no,Adopted
31143,Mandy,foster home,1,baby,iRnqH6oRe3fwXqu,dog,Mixed Breed,None,female,black,white,medium,no,no,yes,2019-02-27,63,no,yes,no,yes,yes,Not available to foster
31144,Vanila,shelter,1,baby,O9sGCHT1HXuZLBU,cat,Persian,Domestic Medium Hair,male,cream,None,medium,no,no,no,2019-03-03,59,no,yes,yes,no,no,Available to foster
31145,Yimmy,shelter,6,baby,ADS6nmag8uOBJcE,dog,Shih Tzu,Papillon,male,brown,white,medium,no,yes,yes,2019-01-21,100,no,yes,yes,yes,no,Available to foster
31146,Urgent Adoption! To Surrender To Shelter,home,1,baby,C4tPyuLhpbdYbeu,cat,Domestic Short Hair,None,female,black,cream,medium,no,yes,no,2019-02-11,79,no,yes,yes,yes,yes,Adopted
31147,C.C,foster home,3,baby,s4GqWOFxsp9aHy6,cat,Domestic Medium Hair,None,male,black,white,small,no,no,no,2019-04-13,18,no,no,yes,no,no,Not available to foster
31148,No name,foster home,6,baby,5pvBG3avO9GziIe,cat,Domestic Medium Hair,None,male,black,white,medium,no,no,no,2019-03-29,33,no,no,yes,yes,yes,Not available to foster
31149,Si Manja,shelter,2,baby,Rn9jPkygS0toAcV,cat,Domestic Short Hair,None,female,black,gray,medium,no,no,yes,2019-01-17,104,no,yes,no,yes,yes,Available to foster
