animalId,animalName,location,age,ageStatus,microchipId,species,breed1,breed2,sex,color1,color2,size,sterilized,vaccinated,houseTrained,registrationDate,shelterTenure,specialNeeds,goodWithDogs,goodWithCats,goodWithOther,goodWithChildren,fosterStatus,shelterId,description
31011,Gabriel,shelter,1,baby,bd1wHfXwcga32vS,dog,Mixed Breed,None,male,black,white,medium,no,no,yes,2019-03-26,36,no,yes,no,yes,yes,Available to foster,91016,Lovely puppy looking for a forever home. If u are interested to adopt pls contact Rachel
31012,W4,shelter,2,baby,hkGxuWGKGrrdSky,dog,Mixed Breed,Mixed Breed,female,white,None,medium,no,yes,yes,2019-03-23,39,no,no,no,no,no,Available to foster,91005,FOR ADOPTION
31013,Nana,foster home,3,baby,dT15L8zqnkK8S3m,cat,Domestic Short Hair,None,female,black,brown,medium,no,no,yes,2019-03-04,58,no,yes,no,yes,yes,Not available to foster,0,I have decided to keep this girl :)
31014,Blackball,shelter,2,baby,mtSKd73dQkpxn7A,cat,Domestic Short Hair,None,male,black,gray,medium,no,no,yes,2019-03-19,43,no,yes,yes,yes,yes,Available to foster,91008,"I brought it home from seksyen 17 Pj, the mother has delivered 6 kittens and i brought it home 3."
31015,Shama,home,24,young,2Kd9hygReIfdzsu,dog,Mixed Breed,Mixed Breed,female,brown,golden,medium,yes,yes,no,2019-01-02,119,no,no,no,yes,no,Adopted,0,"Serious adopters only. Shama is very beautiful and obedient. She is toilet trained, prefers a grassy lawn or daily walks. Please consider her as a new member to your pack (family). You may WhatsApp for more inquiries and current pictures."
31016,Elsa,home,24,young,9vqf8wt8t0u8pRP,dog,Poodle,Mixed Breed,female,cream,None,small,yes,no,yes,2019-01-14,107,no,no,yes,yes,yes,Adopted,0,Friendly
31017,Brownie,shelter,2,baby,XMYrlw78Ihmmuwh,cat,Domestic Short Hair,None,male,brown,None,small,no,no,yes,2019-01-19,102,no,no,yes,yes,no,Available to foster,91001,rescue her from 2 weeks years old...have 4 siblings ready to let go to somebody really love cat.. Diet : EQ n home made wet food interested : (puchong)
31018,Sofi,foster home,3,baby,1ExjhtWdlA5w4zW,cat,Bengal,American Shorthair,female,black,golden,medium,no,no,yes,2019-03-02,60,no,yes,no,yes,yes,Not available to foster,0,"A very friendly, playful and ""Soft"" kitten. Sofi is one female from a litter of 6. We are running out of space so all 6 have to be adopted and loved by you. The breed is Bengal (25%) + American Short Hair (25%) + DSH (50%) Colour is black + grey + golden (slight) Best characteristics: She is so playful and would not mind being held and pet. Her body is ""soft"" or ""lembik"" when you cuddle her :) Feeds on ProDiet kitten dry food + occasional ProDiet wet food + Goat's milk. Please check out my othe"
31019,Poodle Mix,home,12,young,8CesgapdIRE7k4x,dog,Poodle,Mixed Breed,female,black,None,small,no,no,yes,2019-04-13,18,no,yes,no,yes,no,Adopted,0,"Adopters must follow up with vaccination,spay and keep her indoors. Call"
31020,Little Marie,foster home,36,adult,FG7WUotlDJWpXIJ,dog,Mixed Breed,None,female,black,brown,small,yes,yes,yes,2019-03-24,38,no,no,yes,yes,no,Not available to foster,0,"Little Marie is a cute, sweet and a very loving dog. She is a small size dog and has been spayed. She gets along very well with other dogs and very playful. Anyone interested to give her a good home, kindly message/watsapp me at. Free transportation can be arranged if you are from KL, Selangor or NS and only if you are serious in giving her a loving home. Please take note that she should NOT be caged or tied up. Thank you.."
31021,No name,home,2,baby,9WzdW6OyUZqJNFR,cat,Domestic Medium Hair,Tabby,male,black,white,medium,no,no,no,2019-01-22,99,no,yes,yes,no,yes,Adopted,0,Anak bulus comel dan aktif.  metro kajang. Selsema sakit mata dah sembuh. Cute and active kitty.  metro kajang. Flu eye infection now recovered. Sori - untuk adopter keluarga shj. Sorry - no student adoption.
31022,Constellation Ara (Ara),home,24,young,nNxKfElrdmrjpqn,cat,Domestic Medium Hair,None,female,cream,gray,medium,yes,yes,yes,2019-02-07,83,no,no,no,no,no,Adopted,0,"She is a loving cat, come to think of it she might die in the wild because there is no one to live her. Haha. Please contact me ASAP. Thanks"
31023,Mini Fluffy,home,4,baby,X3eLXRvMpoLGkMb,cat,Domestic Short Hair,None,female,gray,None,medium,yes,no,yes,2019-04-13,18,no,yes,no,yes,no,Adopted,0,"Mini Fluffy was abandoned by her mom at my home. She is around 4-5 months old. She is healthy, active, playful & a good mouse hunter! She have bushy long tail just like squirrel. I am looking for someone to adopt her as my family doesn't allow me to keep her."
31024,Sasha,shelter,2,baby,POD7KOmuJqw68Cv,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-01-02,119,no,no,no,yes,no,Available to foster,91012,The puppy is currently taking shelter at SPCA Seberang Perai. Those interested to adopt her may contact us via email.
31025,H2,foster home,1,baby,8wpuXdDMT0o1lMY,dog,Mixed Breed,Mixed Breed,female,black,brown,medium,no,no,yes,2019-04-06,25,no,no,yes,yes,yes,Not available to foster,0,Dog 4 Adoption
31026,Sami (long Hair Daushund),home,72,senior,Hl5C4iwp8UUS8du,dog,Dachshund,None,female,golden,None,small,yes,yes,yes,2019-04-04,27,no,no,yes,yes,no,Adopted,0,"I adopted her from a petshop i lived with her for 2 and half years she is very shy at first but as the time passes she is very royal, playful, she doesnt bite or bark. She needs to go out everyday cuz she doesnt poo inside home. Her teeth is not in good condition so i usually gave her home made food. I have to leave malaysia and i cannot take her with me. Its really sad for me to leave her behind so i want get her adopted to sb who can take care of her forever and really loves her. She is so lo"
31027,Bandit,home,3,baby,0qHv8XjRrih0zHr,dog,Mixed Breed,None,male,black,brown,medium,no,yes,yes,2019-04-26,5,no,yes,yes,yes,no,Adopted,0,"Bandit is a super intelligent, active and extremely affectionate puppy. He is a fast learner and already knows commands such as sit, down and stay from young. He is extremely alert and barks when strangers pass by the house. He will be a superb companion as well as a good watchdog. Bandit is a rescued stray and has been fostered for 8 weeks and is now ready for adoption. Please call Kelly if you can provide Bandit with love and a good home."
31028,Kecik~,home,12,young,IFMLpGojKF8gA71,cat,Domestic Short Hair,None,male,brown,white,large,no,no,no,2019-03-06,56,no,yes,no,yes,yes,Adopted,0,i found him when he was about 6month. kecik was a stray that live inside an abandoned sofa below my flat.he was soo tiny and afraid of children.i managed to catch him and bring him home.after about 6 month living with me and my female pet named 'nye'.he had eventually became bigger than nye herself. the best thing about kecik is that he likes to talk alot.not that usual meow2 for food.its the talking that shows he really understand what we're saying to him.when i watch tv he smtimes urge me for
31029,Anson,shelter,36,adult,KmzCovpqvjl1mDm,dog,Shih Tzu,None,male,brown,white,small,no,no,yes,2019-02-15,75,no,yes,yes,yes,no,Available to foster,91005,cute & adorable
31030,Jimi,shelter,3,baby,Y5XSkfzGmCWwgYZ,dog,Mixed Breed,None,female,black,white,medium,no,yes,yes,2019-04-20,11,no,yes,no,yes,no,Available to foster,91018,This is Jimi - a sweet and loving rescued puppy-please adopt to give her a forever loving home
31031,Tweety,shelter,1,baby,tdFRyJu1RGqGB97,cat,Domestic Long Hair,None,female,black,brown,large,no,no,yes,2019-01-31,90,no,no,yes,yes,yes,Available to foster,91022,"Tweety baru sahaja saya rescue semalam di kedai makan. Keadaan sihat tetapi kurus sikit. Mungkin disebabkan tiada kedai makan yg buka dan ibu tidak dapat cukup makanan untuknya. Tweety sangat playful, ramah, independent dan active. Saya harap ada yg sudi ambil untuk menjaga tweety dengan baik."
31032,Kitten RA6,home,1,baby,U9xXLnY44QOJTg0,cat,Domestic Short Hair,None,male,black,None,medium,no,no,yes,2019-02-10,80,no,yes,no,yes,no,Adopted,0,Male-1 1/2 mths. can eat dry food. not yet vaccine+deworm. hope an animal lover can give her a sweet home. Adopt on 24/9/ by Mr. Ravevarmen from Tmn Tayton.
31033,Miko,shelter,4,baby,63YgFyXLkQ50vjb,cat,Domestic Short Hair,None,female,black,white,medium,no,yes,no,2019-03-08,54,no,no,no,yes,yes,Available to foster,91012,"Abandoned by mummy cat when she was about 1 month old. Took her in when it was raining one evening. Very gentle, active and likes to mew to get attention. And not to mention a very long and straight tail to complement her cute face. I would really hope to find a forever home for her. So drop me a message if you are interested to adopt this gem."
31034,Lulu,home,24,young,TeOR10cdc72I1DE,dog,Mixed Breed,Jack Russell Terrier,female,brown,white,medium,yes,yes,yes,2019-01-30,91,no,no,no,yes,no,Adopted,0,"Hi dog lovers, I had posted the story of Lulu on MDDB & Petfinder before, but got no response so far. Here is the summary of Lulu's life... Came to my residence few yrs ago. Often hides underneath drain due to the dog-haters here. When it rains, she'll still hide underneath despite rising water level. I had a dog & she does not like Lulu around. So I built her a make-shift shelter outside my house & feed her. A new neighbor moved in. I talked to them & they decided to take her & named her Lulu."
31035,Panda,home,2,baby,a48Rcp0sjiHw6uc,dog,Mixed Breed,None,male,black,brown,medium,no,yes,no,2019-02-01,89,no,yes,no,yes,no,Adopted,0,"Panda is the most friendly and adorable puppy you will ever come across. This mixed breed pup loves people. Panda was rescued from being knocked down by vehicles when his mother abandoned him. Please open your hearts and home to him. If you wish to adopt, call us at"
31036,Lil Kitten,home,0,baby,FKd9T9P7mDX6edS,cat,Domestic Short Hair,None,female,golden,cream,medium,no,no,no,2019-04-11,20,no,yes,yes,yes,no,Adopted,0,"A friend's friend found this adorable 2-3 weeks kitten underneath his car yesterday. Kitten has been taken to the vet and is currently on antibitocs and has been dewormed. If anyone is interested to adopt, please call Mun at , or contact me at. They are running out of places to keep the kitty so if they don't find a place soon, they might have to give it up to SPCA or PAWS. They called them and it doesn't sound like they will put up with the kitty for long and may put the little thing to sleep."
31037,No name,shelter,3,baby,yXZmAlWiMff239v,dog,Mixed Breed,None,male,brown,cream,medium,no,yes,no,2019-01-03,118,no,no,no,yes,no,Available to foster,91014,Mother was rescued from the streets and recently gave birth to 2 adorable pups. Both pups are up for adoption.
31038,Mr Wong,home,18,young,4zLROjyzeNpru11,dog,Mixed Breed,Mixed Breed,male,yellow,None,medium,no,no,yes,2019-03-12,50,no,no,yes,yes,no,Adopted,0,"my mum rescue him at roadside when he was still puppy, he so friendly, active and like to play... my mum can't take care too many pets so she decide to find new owner for Mr Wong, but this owner must be animal lover and responsibility person..."
31039,Yuan Yuan,home,91,senior,HMIN8Cwy6w4MuKf,dog,Shih Tzu,None,female,brown,white,small,yes,yes,yes,2019-02-09,81,no,yes,yes,no,no,Adopted,0,Playful and friendly pure shih tzu breed. Nice marking and healthy. Owner give up to take care as reach the limit and can't spend more time to take care her due to kids and work. Looking for serious adopter who need companion and able to spend more time with her
31040,June,foster home,3,baby,gGXT1EScA8bH8nz,dog,Mixed Breed,Mixed Breed,female,brown,white,medium,no,no,yes,2019-04-06,25,no,yes,no,yes,yes,Not available to foster,0,Playful... Is A Quite puppy... If U Sure U Can give Her A Home Pls leave a MSG
31041,Sha Sha,shelter,1,baby,1fA9JingfVerG5S,dog,Mixed Breed,None,female,white,None,medium,no,no,yes,2019-03-28,34,no,no,yes,yes,yes,Available to foster,91000,1 month old pup for adoption. Very active and smart girl. Will love the owner so much.
31042,Nobu,foster home,12,young,xqibYuSEYhKkjRB,cat,Tabby,None,male,yellow,cream,medium,yes,no,yes,2019-01-12,109,no,no,no,yes,yes,Not available to foster,0,I have a full grown male cat for adoption. He hasn't been neutered yet but will do so before handing him over to his new owner - unless you prefer to do so yourself. Adoption fee is RM but this is meant for spay and vaccination bill. Any difference will be returned to you. Nobu is playful and loves cuddling :) He was rescued by a friend of mine and I have raised him since he was a 2 month year old kitten. I currently have 2 adult cats and they've been a handful so I have decided to put Nobu up 
31043,URGENT: Chyna Needs A Home,shelter,24,young,hJbDYvQHJeAJ43P,dog,Mixed Breed,Boxer,female,brown,None,large,yes,yes,no,2019-01-13,108,no,no,no,yes,yes,Available to foster,91006,"Chyna is a healthy, active and alert girl. She was adopted from SPCA as a puppy but her owner is migrating and needs to find her a home urgently. Chyna has a short tail, likes to play, walk & run and very good with people. Friendly with kids too. She runs freely in the backyard, and leashed when go for walks. Knows English commands eg. sit, back, hand etc. No tying up or caging please. Please give this beautiful girl a loving home. If interested please call David at."
31044,Phoebe,home,1,baby,6nEqBsdIoi4fkVM,dog,Mixed Breed,Mixed Breed,female,black,brown,medium,no,no,yes,2019-01-29,92,no,no,no,yes,yes,Adopted,0,Phoebe and her 4 siblings were rescued from the streets. All have been adopted except phoebe. She is also looking for a fosterer until someone could adopt her. Food will be provided by the rescuer. Please help. Thanks..
31045,Ricky,home,18,young,UjEmE3kely8xnkq,dog,Dalmatian,Mixed Breed,male,black,white,medium,yes,yes,yes,2019-01-05,116,no,no,yes,yes,no,Adopted,0,"A mix breed dalmation male (11/2 yrs) looking for serious and love pet adopter. He is strong and very playful health dog. He is smart too.The dog had spayed and vaccine. We will screen the adopter who are well care the dog, love the dog and good treat to it. The adopter has to pay the spayed and vaccine fee total rm during adoption. Welcome who are interest in this offer."
31046,Sapi,shelter,6,baby,h41EEF07UfaiqGf,cat,Domestic Short Hair,None,female,black,yellow,medium,no,no,yes,2019-03-11,51,no,yes,no,yes,no,Available to foster,91010,"Very friendly and lovable, litter trained"
31047,Ongey,foster home,2,baby,8KLsvKe7tjwLisy,cat,Domestic Short Hair,None,female,golden,yellow,medium,no,no,yes,2019-02-16,74,no,yes,yes,yes,no,Not available to foster,0,"Ongey has 4 siblings. Come check them out too by the names of Stripey, Whitey, Elley and Ashey. =D"
31048,Knight,foster home,1,baby,3jccSswEuLBRzZt,dog,Mixed Breed,None,male,black,white,medium,no,no,yes,2019-04-25,6,no,yes,no,yes,no,Not available to foster,0,"This handsome boy is up for adoption. He is the only one that stands out with a black dot on his forehead . He is still young, around 1 month old. We are looking for a loving home for Knight , one that will take care of him and give him the love that he needs.At the moment he is still weaning however Please call urgently if you would like to book him ."
31049,Gita,foster home,2,baby,amopEO4cqlHq8p4,cat,Domestic Short Hair,None,female,black,None,small,no,no,no,2019-04-04,27,no,yes,yes,yes,yes,Not available to foster,0,"I have adopted this pet from the petfinder earlier but as it turned out the health condition in our family doesn't allow to have the cat. The cat is very friendly, it is a fun to have it. You can contact me by phone:"
31050,Padaiyappa,shelter,15,young,DjjRrZGNhdm1X9i,dog,Mixed Breed,None,male,brown,None,medium,yes,yes,yes,2019-04-14,17,no,yes,no,yes,yes,Available to foster,91015,Name : Padaiyappa Age : 1 1/2 years Size : Medium Gender : Male
31051,Tom,home,3,baby,IzXNFC7Ni3P1P0v,cat,Domestic Short Hair,None,male,black,None,medium,no,no,yes,2019-04-27,4,no,yes,yes,yes,yes,Adopted,0,"""Hey there, I am Tom! I am a big love bug. I love to snuggle with you and get lots of loving. I am looking for my forever home. Will you be my new owner? Meowwww"" ------------------------------------------------------- Tom was rescued near my condo. He was devastatingly malnourished and had severe skin condition. Nevertheless, after a few trips to the vet, he began to perk up and showed more personality. Now, he's growing into a handsome tabby and doesn't he remind you of Toothless from 'How to"
31052,Kruppy,home,1,baby,NgAuJwdEqpausHv,dog,Mixed Breed,None,male,black,golden,medium,no,yes,no,2019-04-30,1,no,no,no,yes,yes,Adopted,0,"[On trial adoption] Pics 1-5 with credits to Ohana, an ethical pet supplies shop that promotes adoption and does not sell animals. Check out their recent adoption event album for other dogs/cats available for adoption: -------------------------------------------------- ""Hiya, they call me Kruppy for now. My stray mama sought shelter in a house and gave birth to me and siblings on 28 March . The landlord found out and after getting nipped by my mama who was only trying to protect us, he got angr"
31053,Rufio,foster home,18,young,4VVypwkAVHgXWrk,dog,Corgi,Mixed Breed,male,cream,None,medium,yes,yes,yes,2019-03-28,34,no,yes,yes,yes,yes,Not available to foster,0,We have over fifty gorgeous rescued dogs available for adoption at our rehabilitation centre in Bandar Makhota Cheras. We are looking for loving homes that can offer: *a clean environment with no cages or chains *regular exercise and affection *adequate nutrition and healthcare All adoptions require a house-check before being finalised. www.klpoochrescue.org
31054,Zoey,shelter,48,adult,Ua6IvfKhtVSeCSw,dog,Cocker Spaniel,None,female,brown,golden,small,no,yes,yes,2019-04-11,20,no,no,no,yes,yes,Available to foster,91016,Zoey is up for adoption. She is very active and playful. She's currently having a minor ear infection and would require extra care for that. Would only consider serious adopter please. Please pm me if you're interested.
31055,Monsoon,foster home,3,baby,zsEXlQoxFmclCgx,dog,Mixed Breed,None,male,black,brown,medium,no,yes,no,2019-04-12,19,no,yes,yes,yes,no,Not available to foster,0,Leader of the Monsoon pack.
31056,Tabby Girl 2,shelter,2,baby,Yjm59j2q7Tq2BWF,cat,Domestic Short Hair,None,female,black,brown,medium,no,no,yes,2019-02-14,76,no,no,no,no,yes,Pending,91009,"2/5/ A Cute Tabby kitten looking for new home. She is Tabby Girl 2, age about 2 months old. She has short, thick fur with remarkable stripes. She has unique marks on her abdomen too. She has an innocent-looking face, a pair of beautiful dark blue eyes & a cute short tail. She has her flea treatment done and was de-wormed on 28th April. She is feeding on wet food (canned fish) & might be fed by kibbles in about 2 weeks time. She is healthy, very active & playful. She needs company & cuddle most "
31057,Alicia,shelter,2,baby,mWSGShj4H1GRgi1,dog,Mixed Breed,None,female,black,brown,medium,yes,yes,yes,2019-03-16,46,no,no,no,yes,yes,Pending,91020,She was dumped together with the other two siblings by some 1 in a car in front of a restaurant.Very intelligent even at such a young age. She knows how to guard the restaurant when they closed the shop. She knows how to hide in a secure place when we try to catch her. But she trusted the workers who fed them. She come forward when called by them or else it wasn't easy for us to save them. Hope to get them a home instead of becoming strays by the irresponsible human who didn't spay their mum an
31058,Sunshine,shelter,2,baby,rcfXb6KpXUKWwK3,dog,Mixed Breed,Mixed Breed,female,black,None,medium,no,yes,no,2019-01-10,111,no,yes,yes,yes,no,Available to foster,91007,"Sunshine and her siblings were thrown into the river .... At the moment we heard this , our rescuers went straight to the scene. Unfortunately her mother and brother died. But we managed to rescue 4 pups. Now Sunshine left unadopted is waiting for a furever home. Please open your hearts to her. Call (Vignes) or (Catherine)"
31059,Ci Gemok,home,2,baby,a6SwmareWmj0IHG,cat,Domestic Medium Hair,Domestic Short Hair,male,black,white,small,no,no,yes,2019-03-25,37,no,no,yes,yes,no,Adopted,0,"anyone don't mind to give a home to this cute kitten, please directly contact or sms me, thanks! ps: for serious adopter ONLY"
31060,Unknown 3,shelter,10,young,tKbW2NXL70z4QRO,dog,Mixed Breed,None,male,black,brown,medium,yes,yes,yes,2019-01-27,94,no,yes,no,yes,yes,Available to foster,91005,"Found him 2 months ago. Leg injured, now fully recover. He is estimated between 6mths to 1yr old. Mid side male, brindle coats with mask. Very friendly and smart – he learn very fast, he learn to open a cages’ doors quickly. He don’t like to be caged, he prison break each day when we kept him at the vet. His coats color is beautiful, a bit like tiger. Free for true animal lover adoption only. Will spay before adoption."
31061,Yuan Yuan AKa Fate (FAT),foster home,1,baby,JtxFXqP04AweFH0,cat,Domestic Medium Hair,Domestic Short Hair,female,brown,yellow,small,no,no,yes,2019-04-08,23,no,no,yes,yes,yes,Not available to foster,0,"D.O.B 8 Jun For adoption. Seperated from mother since Monday, feeding well on kibbles + can food. Will Vaccinate her soon. RM50 adoption fee collect to cover vaccination cost. For sincere adopter only. Pls call if interest, office hour tue-fri 9am-6.30pm, sat-sun 10am-4.30pm. Contact thru phone only! Thx"
31062,Tot Tot,home,24,young,d16jw6O4Zeu12P9,cat,Bobtail,None,female,black,brown,medium,no,no,no,2019-01-17,104,no,no,no,yes,yes,Adopted,0,Love foods
31063,Mas,home,12,young,e39InffjDFSOB6A,cat,Tortoiseshell,Domestic Medium Hair,female,yellow,gray,medium,yes,yes,no,2019-03-14,48,no,no,yes,yes,no,Adopted,0,"She appeared in front my house all of a sudden. She was pregnant then, all her babies were missing. Brought her to spay, and hope to find her a loving forever home. She's very affectionate and loving but couldn't get along with other cats, so preferable no cat family. Anyone interested please WhatsApp/sms me at."
31064,Phoenix,home,1,baby,35O845HhfIvLGvY,dog,Mixed Breed,None,female,cream,None,medium,yes,no,yes,2019-04-04,27,no,yes,no,yes,yes,Adopted,0,Found on road alone. All cleaned. Active and playful.
31065,Cassie,home,2,baby,oMHSQnhjDZAUtky,dog,Mixed Breed,None,female,cream,None,medium,no,yes,yes,2019-02-26,64,no,yes,no,no,no,Adopted,0,//Update : Cassie has been adopted by Qayyum on 18 December . We thank you Qayyum for choosing to adopt// Cassie and her 5 other siblings were rescued from an empty house where her mother delivered them. The owner gave us few days to remove them as the house has been rented out. We took them in and now seeking for a genuine animal lover to open their home for them. Here is our adoption requirement : a) Cassie must be spayed when she reached her maturity b) Adopter must be an animal lover and pr
31066,Wolfie,home,12,young,nXvvrd7mPjuE6rJ,dog,Mixed Breed,None,male,brown,None,medium,no,no,no,2019-04-08,23,no,no,no,yes,yes,Adopted,0,"Wolfie is a stray dog that has been wandering near my friend's house in Kepong for the past one week. I think he is either lost or been dumped by his owners. My friend has been feeding him but cannot foster the dog because his house is too small to accomodate another pet. He already has one dog and numerous cats. He is worried because his neighbours do not like the dog wandering in front of their houses and they have threatened to call DBKL to catch the dog. He is a young, handsome and healthy "
31067,Twinkle,home,2,baby,SzCWauSPpe5lbmb,dog,Mixed Breed,None,female,brown,white,small,no,no,no,2019-01-26,95,no,no,no,no,yes,Adopted,0,"""Twinkle"" meaning ""to blink, to sparkle like a star."" Twinkle is one of the rescued puppies in 5 of them(Pixie,Elmo,Sparky,Buddy) Really hope they can be adopted by a loving and caring family as soon as possible , including Twinkle.. If interested , please contact Mrs.Lai at , thanks :)"
31068,Scoby,shelter,3,baby,JWTZuw6Peq50ZP0,dog,Mixed Breed,None,male,brown,None,medium,no,no,yes,2019-02-17,73,no,no,no,no,no,Pending,91020,Rescued this male puppy in my neighbourhood. Healthy condition.
31069,Arty,home,2,baby,VvhM6XcsvwqfoYq,cat,Domestic Short Hair,None,male,brown,white,medium,no,no,yes,2019-02-23,67,no,no,yes,yes,no,Adopted,0,"Arty was a stray kitten when he was found 3 weeks ago. He was about 5-6 weeks old then. He's a active and healthy kitten but needs a home urgently as I'm heading back to another country for the summer and have nobody to look after him. He has bursts of activity and eventually gets tired, so he likes to snuggle and sleep. Since he's a small kitten he gets frightened of quite a few things but is easily comforted. Potty trained and can eat dry food as well. Please contact via Whatsapp Having a pet"
31070,Blur Blur,home,2,baby,TihyEJvuq1BOFz2,cat,Domestic Long Hair,None,male,brown,golden,medium,no,no,no,2019-03-16,46,no,no,yes,yes,yes,Adopted,0,I found the kitten in a drain. Took care of it for about 2 weeks. It's very playful and friendly. Doesn't fit in with dogs. Have blue and greenish eyes. Super adorable . clumsy at times hence the name blur blur.
31071,Panda,home,36,adult,pLp0PQuPJHj7oEq,dog,Spitz,Border Collie,male,black,cream,medium,yes,yes,yes,2019-04-25,6,no,no,no,yes,yes,Adopted,0,"The owner dumped him outside and he had bad skin condition. We rescued him and treated him. He is in great condition, healthy, friendly, and loving. Lester Jenny Will you adopt him? ================================================== Adopters are required to vaccinate and neuter them. =================================================="
31072,Ruby,home,1,baby,NxdnAryy8kOl7Du,dog,Mixed Breed,Mixed Breed,female,brown,None,medium,no,no,no,2019-04-27,4,no,no,yes,yes,yes,Adopted,0,For Adoption
